iter	Quantile:alpha=0.5
0	1662.660818
1	1626.477985
2	1591.717587
3	1558.715867
4	1526.548464
5	1496.294379
6	1465.909566
7	1436.888668
8	1410.645095
9	1384.472021
10	1360.511545
11	1336.407624
12	1313.833628
13	1291.765035
14	1270.095868
15	1248.883904
16	1226.956584
17	1208.176885
18	1190.459952
19	1171.042801
20	1154.541939
21	1136.096968
22	1118.700383
23	1102.744598
24	1086.213485
25	1072.07976
26	1058.221386
27	1043.547657
28	1030.12909
29	1017.804201
30	1005.725203
31	993.078778
32	980.6661292
33	969.6206538
34	960.0726299
35	950.1635914
36	939.0041462
37	928.1549424
38	919.4262104
39	910.2064607
40	900.5818915
41	892.8692238
42	884.901033
43	877.5003762
44	870.6594869
45	862.2875089
46	855.4793931
47	848.8570132
48	841.9453915
49	836.0035568
50	829.2360202
51	823.6259736
52	817.9856692
53	811.6120516
54	805.7528482
55	800.7703707
56	796.2004765
57	790.5386357
58	786.1152098
59	781.7260975
60	778.0876786
61	774.4408679
62	770.8487529
63	766.8581941
64	763.7774285
65	759.0858935
66	753.8732131
67	749.7683558
68	746.0559232
69	742.4552834
70	738.3122515
71	734.6473602
72	730.5723426
73	727.9665199
74	724.5087139
75	721.3362367
76	718.2253199
77	715.2391815
78	712.0165345
79	709.2797305
80	707.2188442
81	704.5905106
82	702.498999
83	700.7860098
84	698.3553055
85	696.0800602
86	693.2591563
87	691.5247522
88	689.0238112
89	686.9816701
90	684.3120523
91	681.624463
92	679.0950764
93	677.2928212
94	675.7145405
95	673.5561412
96	671.8542927
97	669.7235334
98	667.9830165
99	666.2927873
100	664.7479488
101	663.4648255
102	662.0035332
103	660.0974857
104	658.3800381
105	657.3504902
106	656.3712248
107	654.7048953
108	653.2664912
109	652.3399088
110	651.5264273
111	649.9993994
112	648.9172861
113	647.9448182
114	646.5704198
115	645.725409
116	644.9470046
117	644.2450861
118	642.8856312
119	641.9507555
120	640.5755703
121	639.3750246
122	638.1685779
123	637.4043456
124	636.4927429
125	635.3929329
126	634.2042557
127	633.0323283
128	632.2686399
129	631.1295954
130	630.540178
131	629.7193204
132	628.6935107
133	627.7975237
134	627.1103687
135	626.253866
136	625.3452276
137	624.6168844
138	623.7766131
139	622.8198071
140	622.0384869
141	621.5539137
142	620.7252874
143	619.9110878
144	619.4083973
145	618.7976645
146	618.2026222
147	617.6636641
148	617.1827435
149	616.6821329
