iter	Passed	Remaining
0	67	10093
1	135	10014
2	198	9705
3	264	9663
4	330	9597
5	402	9648
6	480	9806
7	543	9643
8	607	9512
9	670	9390
10	735	9298
11	800	9200
12	862	9086
13	924	8982
14	988	8900
15	1052	8815
16	1116	8733
17	1182	8670
18	1244	8578
19	1307	8501
20	1370	8417
21	1433	8343
22	1497	8271
23	1573	8260
24	1650	8252
25	1716	8188
26	1793	8168
27	1867	8136
28	1952	8145
29	2029	8116
30	2113	8114
31	2176	8025
32	2241	7945
33	2304	7862
34	2368	7781
35	2429	7692
36	2490	7606
37	2553	7526
38	2617	7450
39	2680	7371
40	2742	7291
41	2805	7215
42	2867	7134
43	2931	7062
44	2997	6994
45	3059	6917
46	3121	6841
47	3183	6764
48	3244	6688
49	3308	6617
50	3372	6545
51	3445	6492
52	3506	6418
53	3568	6343
54	3633	6275
55	3705	6219
56	3775	6160
57	3838	6088
58	3900	6016
59	3963	5944
60	4027	5876
61	4090	5806
62	4151	5733
63	4212	5660
64	4277	5593
65	4344	5528
66	4408	5461
67	4472	5393
68	4535	5324
69	4598	5255
70	4660	5185
71	4721	5115
72	4782	5044
73	4845	4976
74	4921	4921
75	4985	4854
76	5047	4785
77	5110	4717
78	5177	4653
79	5238	4584
80	5303	4518
81	5367	4451
82	5432	4385
83	5507	4327
84	5587	4272
85	5664	4215
86	5741	4157
87	5823	4103
88	5886	4034
89	5950	3966
90	6013	3898
91	6074	3829
92	6137	3761
93	6202	3694
94	6267	3628
95	6330	3561
96	6392	3492
97	6453	3424
98	6516	3356
99	6578	3289
100	6641	3221
101	6703	3154
102	6765	3087
103	6829	3020
104	6892	2953
105	6958	2888
106	7022	2822
107	7084	2754
108	7149	2689
109	7213	2623
110	7276	2556
111	7338	2489
112	7401	2423
113	7465	2357
114	7529	2291
115	7593	2225
116	7659	2160
117	7722	2094
118	7787	2028
119	7851	1962
120	7912	1896
121	7973	1830
122	8035	1763
123	8100	1698
124	8162	1632
125	8223	1566
126	8288	1500
127	8350	1435
128	8412	1369
129	8477	1304
130	8544	1239
131	8614	1174
132	8676	1109
133	8739	1043
134	8804	978
135	8868	912
136	8931	847
137	9009	783
138	9074	718
139	9137	652
140	9201	587
141	9265	521
142	9329	456
143	9394	391
144	9464	326
145	9532	261
146	9598	195
147	9667	130
148	9734	65
149	9799	0
